Directory Name,URL,Category,Free?,Domain Authority,Priority,Status,Date Submitted,Date Verified,Notes
Google Business Profile,https://business.google.com,Search Engine,Yes,100,Week 1 - High,Not Started,,,Most important listing
Bing Places,https://bingplaces.com,Search Engine,Yes,98,Week 1 - High,Not Started,,,Second largest search engine
LinkedIn Company Page,https://linkedin.com/company,Social/Professional,Yes,99,Week 1 - High,Not Started,,,Create company page + post articles
Clutch.co,https://clutch.co,Agency Directory,Yes,76,Week 1 - High,Not Started,,,Best directory for digital agencies
TTBizLink,https://ttbizlink.gov.tt,Caribbean - T&T,Yes,65,Week 1 - High,Not Started,,,T&T government business registry
Yellow Pages TT,https://yellowpages.tt,Caribbean - T&T,Yes,55,Week 1 - High,Not Started,,,High local authority in T&T
Caribbean Export,https://caribbeanexport.com,Caribbean - Regional,Yes,58,Week 1 - High,Not Started,,,Regional trade body - great for credibility
Apple Maps,https://mapsconnect.apple.com,Search Engine,Yes,100,Week 2 - Medium,Not Started,,,iPhone users use Apple Maps
Yelp,https://biz.yelp.com,General Directory,Yes,93,Week 2 - Medium,Not Started,,,High authority general directory
Crunchbase,https://crunchbase.com,Business Directory,Yes,91,Week 2 - Medium,Not Started,,,Great for investor/partner credibility
GoodFirms,https://goodfirms.co,Agency Directory,Yes,72,Week 2 - Medium,Not Started,,,IT & web agency directory
DesignRush,https://designrush.com,Agency Directory,Yes,68,Week 2 - Medium,Not Started,,,Web design agency directory
Jamaica Yellow Pages,https://jamaicayellowpages.com,Caribbean - Jamaica,Yes,48,Week 2 - Medium,Not Started,,,Jamaica market visibility
Barbados Business Directory,https://barbadosbusiness.com,Caribbean - Barbados,Yes,42,Week 2 - Medium,Not Started,,,Barbados market visibility
Guyana Business Directory,https://guyanabusiness.gy,Caribbean - Guyana,Yes,38,Week 2 - Medium,Not Started,,,Guyana market visibility
Caribbean Business Directory,https://caribbeanbusinessdirectory.com,Caribbean - Regional,Yes,45,Week 2 - Medium,Not Started,,,Pan-Caribbean directory
Facebook Business,https://facebook.com/business,Social,Yes,100,Week 2 - Medium,Not Started,,,Business page + link in bio
Instagram Business,https://instagram.com,Social,Yes,93,Week 2 - Medium,Not Started,,,Business account + link in bio
Trustpilot,https://trustpilot.com,Review Platform,Yes,92,Week 2 - Medium,Not Started,,,Collect client reviews here
Foursquare,https://foursquare.com,Local Directory,Yes,92,Week 2 - Medium,Not Started,,,Local business listing
Agency Spotter,https://agencyspotter.com,Agency Directory,Yes,55,Week 3 - Low,Not Started,,,Marketing agency marketplace
The Manifest,https://themanifest.com,Agency Directory,Yes,65,Week 3 - Low,Not Started,,,B2B services directory
Sortlist,https://sortlist.com,Agency Directory,Yes,62,Week 3 - Low,Not Started,,,Agency marketplace
UpCity,https://upcity.com,Agency Directory,Yes,68,Week 3 - Low,Not Started,,,Local marketing agencies
Expertise.com,https://expertise.com,Local Directory,Yes,60,Week 3 - Low,Not Started,,,Local experts directory
Alignable,https://alignable.com,Business Network,Yes,58,Week 3 - Low,Not Started,,,Small business network
Hotfrog,https://hotfrog.com,General Directory,Yes,60,Week 3 - Low,Not Started,,,General business directory
Manta,https://manta.com,General Directory,Yes,68,Week 3 - Low,Not Started,,,Small business directory
Medium,https://medium.com,Content Platform,Yes,95,Week 3 - Low,Not Started,,,Publish Caribbean business articles
Quora,https://quora.com,Q&A Platform,Yes,92,Week 3 - Low,Not Started,,,Answer Caribbean business questions
TTMA,https://ttma.com,Caribbean - T&T,Yes,52,Week 3 - Low,Not Started,,,T&T Manufacturers Association
Invest TT,https://investt.co.tt,Caribbean - T&T,Yes,55,Week 3 - Low,Not Started,,,T&T investment promotion body
Caribbean Jobs,https://caribbeanjobs.com,Caribbean - Regional,Yes,50,Week 3 - Low,Not Started,,,Lists agencies and services
YouTube Channel,https://youtube.com,Video/Social,Yes,100,Week 3 - Low,Not Started,,,Create channel + link in description
